"code","name","1950-07","1951-07","1952-07","1953-07","1954-07","1955-07","1956-07","1957-07","1958-07","1959-07","1960-07","1961-07","1962-07","1963-07","1964-07","1965-07","1966-07","1967-07","1968-07","1969-07","1970-07","1971-07","1972-07","1973-07","1974-07","1975-07","1976-07","1977-07","1978-07","1979-07","1980-07","1981-07","1982-07","1983-07","1984-07","1985-07","1986-07","1987-07","1988-07","1989-07","1990-07","1991-07","1992-07","1993-07","1994-07","1995-07","1996-07","1997-07","1998-07","1999-07","2000-07","2001-07","2002-07","2003-07","2004-07","2005-07","2006-07","2007-07","2008-07","2009-07","2010-07","2011-07","2012-07","2013-07","2014-07","2015-07","2016-07","2017-07","2018-07","2019-07","2020-07","2021-07","2022-07","2023-07"
"KEN","Kenya","1006.81","1281.01","1019.13","1347.65","797.34","705.19","728.64","913","773.15","840.96","805.2","1045.24","776.69","1015.43","788.98","663.89","706.93","898.6","950.33","548.5","699.4","755.22","793.27","616.5","656.29","703.87","692.82","1159.95","949.1","948.83","637","850.11","865.2","763.28","610.86","801.42","827.51","670.97","817.19","826.3","842.29","681.81","667.58","613.48","784.82","668.08","601.31","1010.85","848.53","554.94","477.52","687.12","711.26","621.08","667.56","532.85","878.42","673.39","587.66","491.63","724.51","736.83","718.12","791.79","649.75","760.74","599.31","597.52","879.6","865.4","947.91","482.75","423.31","707.85"
"TZA","Tanzania","1145.75","1428.73","1125.64","1703.08","1005.57","1217","1159.85","1731.26","1229.88","1359.89","1232.08","1629.14","1307.54","1373.67","1194.79","1216.09","1054.77","1219.83","1344.77","989.75","1271.25","1249.93","1577.36","1209.01","1172.11","1166.58","1169.91","1430.23","1394.92","1360.99","1157.52","1144.94","1328.51","1134.95","1244.75","1213.41","1402.88","1140.79","1086.04","1343.02","1109.78","1183.28","1021.88","884.54","1154.4","998.67","967.31","1251.33","1090.15","921.45","965.32","978.23","1161.93","766.1","1033.49","764","1188.89","955.71","1001.42","950.62","968.48","1155.68","1016.96","1046.19","1074.59","1071.83","990.02","1050.88","1171.65","1231.8","1327.04","903.38","999.87","1129.2"
"UGA","Uganda","2010.02","2328.24","2140.65","2649.36","1694.68","1815.09","1807.33","1894.5","1874.5","2136.23","2128.68","2359.73","2290.36","2294.23","1981.25","1798.26","1886.15","2144.66","2034.96","1653.36","1914.52","1999.85","2202.79","1789.36","1869.81","2129.07","1991.4","1966","1984.74","1874.45","1607.32","1851.55","1823.39","1830.46","1630.07","1938.84","1959.55","1789.63","1857.19","1736.84","1785.95","1923.28","1635.4","1510.51","1840.21","1663.86","1678.21","1735.83","1481.56","1562.73","1347.46","1586.97","1427.49","1417.83","1458.53","1430.9","1724.92","1517.22","1491.73","1421.07","1702.6","1707.99","1651.86","1546.32","1470.64","1538.39","1232.58","1430.11","1569.99","1761.51","1832.4","1247.36","1341.14","1545.62"
"ZMB","Zambia","1212.52","1003.68","1220.82","1611.54","674.42","1442.89","1339.33","1722.46","1632.86","1299.49","1024.8","1412.91","1323.66","1285.09","1030.56","917.02","1022.52","1041.16","1043.12","1387.26","1068.48","1128.44","1123.4","996.33","1269.45","1021.9","1268.38","1229.57","1553.55","1189.85","1037.64","1050.91","1130.99","1050.38","1084.54","1155.58","1241.96","940.8","1045.11","1229.9","996","1057.78","876.5","1184.34","949.6","899.3","1015.71","1162.85","1059.97","1015.56","1194.31","1153.29","977.02","1030.66","1127.89","851.13","1120.13","1172.68","1171.54","1147.68","1202.17","1120.29","1127.04","1090.13","1068.38","1027.52","1109.01","1258.9","1119.48","1012.55","1272.78","1050.65","1299.88","1119.05"
